,path id,covered nerve,uncovered nerve,covered nerve (subclasses),complete (subclasses)
167,ilxtr:sparc-nlp/senmot/12,[],['UBERON:0001148'],"['FMA:37067', 'FMA:37068']",True
168,ilxtr:sparc-nlp/senmot/13,[],"['UBERON:0001148', 'ILX:0794949']","['FMA:37067', 'FMA:37068']",False
169,ilxtr:sparc-nlp/senmot/4,[],['UBERON:0001148'],"['FMA:37067', 'FMA:37068']",True
170,ilxtr:sparc-nlp/senmot/5,[],['UBERON:0001148'],"['FMA:37067', 'FMA:37068']",True
171,ilxtr:sparc-nlp/senmot/6,[],['UBERON:0001148'],"['FMA:37067', 'FMA:37068']",True
172,ilxtr:sparc-nlp/senmot/7,[],['UBERON:0001148'],"['FMA:37067', 'FMA:37068']",True
173,ilxtr:sparc-nlp/senmot/8,[],['UBERON:0001148'],"['FMA:37067', 'FMA:37068']",True
174,ilxtr:sparc-nlp/senmot/9,[],['UBERON:0001148'],"['FMA:37067', 'FMA:37068']",True
175,ilxtr:sparc-nlp/senmot/102,[],['UBERON:0001267'],"['FMA:16499', 'FMA:16500']",True
176,ilxtr:sparc-nlp/senmot/120,[],['UBERON:0001267'],"['FMA:16499', 'FMA:16500']",True
177,ilxtr:sparc-nlp/senmot/121,[],['UBERON:0001267'],"['FMA:16499', 'FMA:16500']",True
178,ilxtr:sparc-nlp/senmot/122,[],['UBERON:0001267'],"['FMA:16499', 'FMA:16500']",True
179,ilxtr:sparc-nlp/senmot/123,[],['UBERON:0001267'],"['FMA:16499', 'FMA:16500']",True
180,ilxtr:sparc-nlp/senmot/124,[],['UBERON:0001267'],"['FMA:16499', 'FMA:16500']",True
181,ilxtr:sparc-nlp/senmot/126,[],['UBERON:0001267'],"['FMA:16499', 'FMA:16500']",True
182,ilxtr:sparc-nlp/senmot/164,[],['UBERON:0001267'],"['FMA:16499', 'FMA:16500']",True
183,ilxtr:sparc-nlp/senmot/172,[],['UBERON:0001267'],"['FMA:16499', 'FMA:16500']",True
184,ilxtr:sparc-nlp/senmot/107,[],['ILX:0794959'],[],False
185,ilxtr:sparc-nlp/senmot/108,[],['ILX:0795006'],[],False
186,ilxtr:sparc-nlp/senmot/109,[],['ILX:0795006'],[],False
187,ilxtr:sparc-nlp/senmot/110,[],['ILX:0795006'],[],False
188,ilxtr:sparc-nlp/senmot/111,[],['ILX:0795006'],[],False
189,ilxtr:sparc-nlp/senmot/113,[],['UBERON:0034984'],[],False
190,ilxtr:sparc-nlp/senmot/114,[],['UBERON:0034984'],[],False
191,ilxtr:sparc-nlp/senmot/125,[],['UBERON:0005465'],"['FMA:16501', 'FMA:16502']",True
192,ilxtr:sparc-nlp/senmot/127,[],['UBERON:0005465'],"['FMA:16501', 'FMA:16502']",True
193,ilxtr:sparc-nlp/senmot/128,[],['UBERON:0005465'],"['FMA:16501', 'FMA:16502']",True
194,ilxtr:sparc-nlp/senmot/129,[],['UBERON:0005465'],"['FMA:16501', 'FMA:16502']",True
195,ilxtr:sparc-nlp/senmot/131,[],['UBERON:0005465'],"['FMA:16501', 'FMA:16502']",True
196,ilxtr:sparc-nlp/senmot/165,[],['UBERON:0005465'],"['FMA:16501', 'FMA:16502']",True
197,ilxtr:sparc-nlp/senmot/14,[],['ILX:0794949'],[],False
