,nerve id,label,covered,subclasses,subclass labels
94,UBERON:0035110,lateral plantar nerve,False,"['FMA:45450', 'FMA:45451']","[['right lateral plantar nerve'], ['left lateral plantar nerve']]"
95,UBERON:0001492,radial nerve,False,"['FMA:37070', 'FMA:37071']","[['right radial nerve'], ['left radial nerve']]"
96,ILX:0794967,posterior interosseous nerve,False,"['FMA:65335', 'FMA:65336']","[['right posterior interosseous nerve', 'deep branch of right radial nerve'], ['deep branch of left radial nerve', 'left posterior interosseous nerve']]"
97,UBERON:0001494,ulnar nerve,False,"['FMA:37320', 'FMA:37321']","[['right ulnar nerve'], ['left ulnar nerve']]"
98,ILX:0794969,deep branch of ulnar nerve,False,[],[]
99,UBERON:0001493,axillary nerve,False,"['FMA:37073', 'FMA:37074']","[['right axillary nerve'], ['left axillary nerve']]"
100,ILX:0794977,deep branch of radial nerve,False,"['FMA:65335', 'FMA:65336']","[['right posterior interosseous nerve', 'deep branch of right radial nerve'], ['deep branch of left radial nerve', 'left posterior interosseous nerve']]"
101,ILX:0795005,posterior cutaneous nerve of arm,False,"['FMA:44950', 'FMA:44951']","[['posterior cutaneous nerve of right arm', 'right posterior brachial cutaneous nerve'], ['left posterior brachial cutaneous nerve', 'posterior cutaneous nerve of left arm']]"
102,UBERON:0002019,accessory xi nerve,False,"['FMA:50897', 'FMA:50899']","[['right spinal accessory nerve', 'right accessory nerve', 'right accessory nerve tree'], ['left accessory nerve tree', 'left accessory nerve', 'left spinal accessory nerve']]"
103,UBERON:0011391,perineal nerve,False,"['FMA:21873', 'FMA:21874']","[['right perineal nerve'], ['left perineal nerve']]"
